param,tt,ss,ff,lower,upper
a0,"[1.23682,1.23682,1.328853483818,1.171646870846,1.293787322276,0.99242407784,1.19308860166064,1.02350097064057,-1.110903038712,1.3425676466503,1.3425676466503,1.62221633722806,1.09748023506263,0.463295678794673,2.28083725199641,1.27052901763011,0.801114070626047,1.28721176685324,1.3212940808532,1.3212940808532,1.33810517897454,1.11732408170591,2.85373084148988,-0.457754550615158,0.559400242467097,3.75554605911061,-6.86077712125912,1.109385,1.109385,1.126123304134,1.257725627884,0.805106554816,1.10079540292,1.56573507888,-0.657791148,-2.15964664451502,1.109385,1.109385,1.126123304134,1.257725627884,0.805106554816001,1.10079540292,1.56573507888,-0.657791147999998,10.1659127171841,1.109385,1.109385,1.12612330413401,1.25772562788401,0.805106554815993,1.10079540292,1.56573507888001,-0.657791147999973,1.3772082409493,0.780824991133334,0.780824991133334,0.602643033784551,1.40594321902156,-1.67683758394951,4.82334636548389,1.79266250060043,-2.74344714060789,-0.995446855747911,1.212275,1.212275,1.290053434286,1.211310642674,1.582338188448,-0.0649376692799999,1.49467176688,-0.00465887600000059,-2.08228480125189,1.212275,1.212275,1.290053434286,1.211310642674,1.582338188448,-0.064937669279999,1.49467176688,-0.00465887600000059,13.0631229413606,1.0913966940152,1.0913966940152,1.40303131382241,0.823512765740823,3.08892761444984,-4.47425929806876,1.70005590370782,1.98082893666874,-3.11032092071965,1.2509318,1.2509318,1.2539231852882,1.3353281398328,1.1005319152,1.3451603872,1.42899005968,-0.639616527428572,-11.8177787646799,0.178394076144155,-0.504927130230127,1.21212221414844,1.52326109204192,-0.460648598564658,3.6315066925976,0.624509423823941,-0.639616527428569,9.35601258824698]","[1.34499,1.34499,1.47724609397325,1.228324476138,1.351594511058,1.220834686686,1.21778863919204,1.06642640588557,-1.334722697082,1.5598607382346,1.5598607382346,1.98599819919232,1.09551680595209,0.93035606372375,1.96395506466888,1.29956995977867,0.824195115181821,1.3614730004898,1.3885541675039,1.3885541675039,1.38691933667273,1.30089108880114,2.47321129186457,0.286902736168719,0.552548889412001,4.04221810030529,-7.7099802569944,1.169205,1.169205,1.1926370951475,1.269299878692,0.875203734829,1.350622929424,1.61465159268,-0.792915753,-2.49043711907807,1.169205,1.169205,1.1926370951475,1.269299878692,0.875203734828998,1.350622929424,1.61465159268,-0.792915753000001,11.2033036753453,1.169205,1.169205,1.1926370951475,1.26929987869201,0.875203734829014,1.35062292942399,1.61465159267999,-0.792915752999988,1.44348176210934,0.81281766177646,0.812817661776462,0.639147244481434,1.20723274370368,-1.09944593516444,4.67927866553032,1.88742064844628,-2.92587233668893,-1.07274389444548,1.2849969,1.2849969,1.37246851609192,1.2894657788715,1.516776575948,0.269127234176,1.52602766068,-0.0999082610000031,-2.29591064781019,1.2849969,1.2849969,1.37246851609192,1.2894657788715,1.516776575948,0.269127234176,1.52602766068,-0.0999082609999959,14.0853953657945,1.3838456786411,1.3838456786411,1.71640646439975,1.15335206049834,2.72881387886286,-2.86976139471617,1.72537582435042,1.95745393042207,-3.23502716693098,1.2509318,1.2509318,1.25394119826395,1.3363730597858,1.0990863172,1.3508457592,1.45732863148,-0.808912962428572,-12.2138655241736,0.297555468698,-0.311682338490566,1.21683434144772,1.50606626539004,-0.314983504150515,3.43911487494707,0.70937693429585,-0.80891296242857,9.92751868810672]","[1.171369,1.171369,1.230540170007,1.1425925232195,1.25970100231,0.8997619234,1.16838856412924,0.980575535395571,-0.887083380342002,1.1897275623139,1.1897275623139,1.3569273789059,1.10904077867381,0.076704027381334,2.66327816297539,1.24139616885342,0.778431492647826,1.20712043139365,1.3187341681914,1.3187341681914,1.37609085268896,1.0012757541528,3.18675321918251,-1.02990401711006,0.567434212241447,3.46045617752574,-5.994167542703,1.061996,1.061996,1.05106881170975,1.2580008228095,0.76864547436,1.0094160519,1.51681856508,-0.522666542999999,-1.80848854444369,1.061996,1.061996,1.05106881170975,1.2580008228095,0.768645474360001,1.0094160519,1.51681856508,-0.522666542999998,9.07418202811084,1.061996,1.061996,1.05106881170974,1.25800082280952,0.76864547436,1.00941605189999,1.51681856508,-0.522666543,1.31093471978932,0.549753975009232,0.549753975009232,0.23032437751773,1.48948521864268,-2.1946860631406,4.81042244136562,1.69384829980688,-2.5518117911484,-0.900936199117321,1.216808,1.216808,1.29911774394725,1.188040607639,1.664236346647,-0.1393405367,1.46331587308,0.0905905090000019,-1.81630643727311,1.216808,1.216808,1.29911774394725,1.188040607639,1.664236346647,-0.139340536699999,1.46331587308,0.0905905090000019,11.8945952872442,1.1024195284682,1.1024195284682,1.45067756329113,0.697811826347268,3.54901848003353,-5.09656835597266,1.67337698123642,1.9708531515954,-2.91171647385821,1.2509318,1.2509318,1.25390517231245,1.3342832198798,1.1019775132,1.3394750152,1.40065148788,-0.470320092428565,-11.0879002943758,0.0592326835903076,-0.697713175798624,1.20739760524257,1.53979596918711,-0.599729273655665,3.80991448227088,0.547853854172759,-0.470320092428571,8.65828800305226]",-12.2138655241736,14.0853953657945
a2,"[0.9995,0.9995,1.2003959015,0.8,0.6972012,1.0055976,0.8,0.884075316078286,-0.579795937516,1.22315994939213,1.22315994939213,1.64928074895016,0.8,0.440955032155319,1.52475384014655,0.786672191085628,0.806834430701738,-2.88995283712663,1.07363292255787,1.07363292255787,1.34918045467487,0.8,0.8,0.858265210704412,0.683469578591175,0.518565270761412,2.76344646704595,0.8,0.8,0.8,0.8,0.8,0.75650212045064,0.88699575909872,1.180686884028,-1.27188959606534,0.8,0.8,0.8,0.8,0.8,0.756502120450639,0.886995759098721,1.180686884028,-1.27188959606533,0.8,0.8,0.8,0.8,0.8,0.756502120450648,0.88699575909871,1.18068688402801,-1.27188959606525,0.8,0.8,0.8,0.8,0.8,0.617599761713941,0.183793948350163,4.82574774233174,-3.98600027042304,0.8,0.8,0.8,0.8,0.8,0.8,1.10720647359648,0.0392201759994286,2.40751338627852,0.8,0.8,0.8,0.8,0.8,0.8,1.10720647359648,0.0392201759994251,-1.16852122396933,0.8,0.8,0.8,0.8,-0.485791353787201,3.3715827075744,1.10720647359648,-0.129692156859157,-0.774392447299292,0.8,0.8,0.8,0.8,1.2111952,-0.0223903999999999,1.10720647359648,0.0932382251080011,-8.33568581458309,0.177878893076924,-0.238319505333507,0.8,0.8,2.493466944288,-2.586933888576,1.10720647359648,0.0932382251080011,-4.87718884908827]","[0.9995,0.9995,1.201605619625,0.8,0.6947757,1.0104486,0.8,0.893879952843286,-0.763969173301,1.22113931716973,1.22113931716973,1.64777902967619,0.8,0.43485314900077,1.53720076648239,0.786185871032144,0.808410646650161,-3.36873416813813,1.07116081478027,1.07116081478027,1.34586319317218,0.8,0.8,0.859980227324859,0.680039545350283,0.492424568336084,2.97695343317024,0.8,0.8,0.8,0.8,0.8,0.75450389119454,0.89099221761092,1.225081562433,-1.53677292901034,0.8,0.8,0.8,0.8,0.8,0.75450389119454,0.890992217610922,1.225081562433,-1.53677292901034,0.8,0.8,0.8,0.8,0.8,0.754503891194531,0.890992217610929,1.22508156243299,-1.53677292901034,0.8,0.8,0.8,0.8,0.8,0.614474777614864,0.143023136789734,5.04885837403072,-4.5029579150946,0.8,0.8,0.8,0.8,0.8,0.8,1.13401084291128,-0.0172812678455738,2.49504997233677,0.8,0.8,0.8,0.8,0.8,0.8,1.13401084291128,-0.0172812678455703,-1.42135001595434,0.8,0.8,0.8,0.8,-0.421343079969202,3.2426861599384,1.13401084291128,-0.192308203327515,-1.01295383316313,0.8,0.8,0.8,0.8,1.2208972,-0.0417944000000006,1.13401084291128,0.0430362205630015,-8.88967409888088,0.24699797,-0.124077590421107,0.8,0.8,2.387598984568,-2.375197969136,1.13401084291128,0.0430362205630015,-5.03122926223924]","[0.9995,0.9995,1.199186183375,0.8,0.6996267,1.0007466,0.8,0.874270679313286,-0.395622701731002,1.22518058161453,1.22518058161453,1.65075796300686,0.8,0.44716615982987,1.51208289337108,0.787169573938368,0.805420971608987,-2.40541921479392,1.07610503033547,1.07610503033547,1.3524677356905,0.8,0.8,0.856465725237901,0.687068549524198,0.546101151806532,2.54055202682437,0.8,0.8,0.8,0.8,0.8,0.758500349706741,0.88299930058652,1.136292205623,-1.00700626312034,0.8,0.8,0.8,0.8,0.8,0.758500349706742,0.882999300586521,1.136292205623,-1.00700626312033,0.8,0.8,0.8,0.8,0.8,0.75850034970675,0.882999300586519,1.13629220562296,-1.0070062631203,0.8,0.8,0.8,0.8,0.8,0.621186285534529,0.229832802487768,4.57933269347308,-3.44275966782512,0.8,0.8,0.8,0.8,0.8,0.8,1.08040210428168,0.0957216198444293,2.28472879813727,0.8,0.8,0.8,0.8,0.8,0.8,1.08040210428168,0.0957216198444275,-0.915692431984333,0.8,0.8,0.8,0.8,-0.545869846805198,3.4917396936104,1.08040210428168,-0.0642388429300809,-0.542451352177139,0.8,0.8,0.8,0.8,1.2014932,-0.00298640000000017,1.08040210428168,0.143440229653004,-7.62025840628531,0.108759816153846,-0.352282006377447,0.8,0.8,2.59261216431569,-2.78522432863138,1.08040210428168,0.143440229652999,-4.57882396553973]",-8.88967409888088,5.04885837403072
agidl,"[1e-10,1e-10,8.426709174077e-11,1.3146581651846e-10,1e-10,1e-10,1e-10,6.13569883902857e-11,1.90167027089333e-10,1e-10,1e-10,4.50497326813296e-11,2.09900534637341e-10,1e-10,1e-10,1e-10,-3.49682959415039e-11,9.94797529148553e-10,1e-10,1e-10,1.53720272163374e-10,8.17290400784875e-11,-7.8339168810472e-11,2.69539993177706e-10,3.84884162798079e-09,-1.36057186032936e-08,-1.04627209499632e-09,1e-10,1e-10,6.401124638607e-11,1.122402409449e-10,2.1947453256592e-10,-1.35797120242399e-11,-2.41145670440272e-09,9.28185463423771e-09,-9.79791607908776e-10,1e-10,1e-10,6.40112463860699e-11,1.122402409449e-10,2.1947453256592e-10,-1.35797120242402e-11,-2.41145670440272e-09,9.28185463423772e-09,5.36463543920016e-09,1e-10,1e-10,6.40112463860703e-11,1.12240240944903e-10,2.1947453256592e-10,-1.35797120242392e-11,-2.4114567044027e-09,9.28185463423761e-09,4.16988062503996e-10,-4.91530875745332e-11,-4.9153087574533e-11,-1.65430492460613e-10,2.62126799706337e-10,-3.59930826781527e-10,5.62388953346921e-10,-1.230865343301e-08,3.86023934624774e-08,7.12790547813983e-09,1.4670794e-10,1.4670794e-10,1.3586192776195e-10,6.53026112432198e-11,4.0091784829048e-10,-1.939468120388e-10,6.878936240776e-10,1e-10,9.98778569869926e-09,1.4670794e-10,1.4670794e-10,1.3586192776195e-10,6.53026112432198e-11,4.0091784829048e-10,-1.939468120388e-10,6.87893624077599e-10,1e-10,-2.614334899479e-08,-3.06299013410886e-09,-3.06299013410886e-09,-6.48698338111023e-09,7.55688317156121e-10,1.44774765528405e-09,-3.76604573241876e-09,1.01754104123872e-09,4.20537319092002e-08,-7.06434631858049e-08,1.1731672e-09,1.1731672e-09,2.2538433508984e-09,-1.5548226772166e-10,6.61423883491589e-11,9.48407991996161e-10,5.82472604384319e-10,-1.33167749163486e-08,1.43608215507211e-08,3.07306874221129e-09,3.65822330812897e-09,6.64905525509914e-09,-3.70207214470676e-09,4.77701822314251e-10,-3.28603756487539e-09,-1.62341750489791e-09,-1.33167749163486e-08,2.96473383143427e-08]","[1e-10,1e-10,8.41723541969075e-11,1.31655291606185e-10,1e-10,1e-10,1e-10,5.68505445252858e-11,2.00682062774333e-10,1e-10,1e-10,4.50752818148432e-11,2.09849436370314e-10,1e-10,1e-10,1e-10,-4.97362091163676e-11,1.1023242628185e-09,1e-10,1e-10,1.53228408002491e-10,8.24178752175675e-11,-7.77493824450987e-11,2.74653096206734e-10,4.12823984538031e-09,-1.45508960108606e-08,-1.14643221956541e-09,1e-10,1e-10,6.37945359045825e-11,1.11959196440775e-10,2.2090346350012e-10,-1.879739862914e-11,-2.63997097720492e-09,1.00654021112577e-08,-1.11679190465832e-09,1e-10,1e-10,6.37945359045825e-11,1.11959196440775e-10,2.2090346350012e-10,-1.87973986291398e-11,-2.63997097720492e-09,1.00654021112577e-08,5.92705945316304e-09,1e-10,1e-10,6.37945359045839e-11,1.11959196440776e-10,2.20903463500119e-10,-1.87973986291417e-11,-2.63997097720494e-09,1.00654021112577e-08,4.3271641129399e-10,-4.37589193242769e-11,-4.3758919324277e-11,-1.57815353139417e-10,2.58953163068166e-10,-3.44226665395137e-10,5.61843437099761e-10,-1.29656824641027e-08,4.07371773628804e-08,7.69783225572913e-09,1.4670794e-10,1.4670794e-10,1.35796617233013e-10,6.42001745597948e-11,4.0451686485778e-10,-2.074503006143e-10,7.149006012286e-10,1e-10,1.07290060660289e-08,1.4670794e-10,1.4670794e-10,1.35796617233012e-10,6.42001745597955e-11,4.04516864857781e-10,-2.074503006143e-10,7.149006012286e-10,1e-10,-2.83940291468841e-08,-2.83183150875686e-09,-2.83183150875686e-09,-6.02915176132311e-09,7.10532742117647e-10,1.40596726191037e-09,-3.60392094320944e-09,1.03486010873846e-09,4.35724510864813e-08,-7.27680961892001e-08,1.1731672e-09,1.1731672e-09,2.2603507685074e-09,-1.58537868841385e-10,5.93987117595102e-11,9.63035705157761e-10,6.0463669337752e-10,-1.48814030467986e-08,1.63973997086246e-08,2.8619853383836e-09,3.38369940386337e-09,6.1852827554532e-09,-3.32411957975479e-09,4.57207713019799e-10,-2.86785712268797e-09,-1.44625077053725e-09,-1.48814030467986e-08,3.22217720971693e-08]","[1e-10,1e-10,8.43618292846325e-11,1.31276341430735e-10,1e-10,1e-10,1e-10,6.58634322552858e-11,1.79651991404333e-10,1e-10,1e-10,4.50284505267915e-11,2.09943098946417e-10,1e-10,1e-10,1e-10,-1.99974125349601e-11,8.85369385140146e-10,1e-10,1e-10,1.54202375684171e-10,8.10275466949416e-11,-7.88645961265686e-11,2.64191885543993e-10,3.55915112773427e-09,-1.26252502173615e-08,-9.43592389047907e-10,1e-10,1e-10,6.42279568675574e-11,1.12521285449025e-10,2.1804560163172e-10,-8.36202541933992e-12,-2.18294243160052e-09,8.49830715721771e-09,-8.33768970119201e-10,1e-10,1e-10,6.42279568675575e-11,1.12521285449025e-10,2.1804560163172e-10,-8.36202541933982e-12,-2.18294243160052e-09,8.49830715721772e-09,4.77162058812081e-09,1e-10,1e-10,6.42279568675583e-11,1.12521285449026e-10,2.18045601631723e-10,-8.36202541934002e-12,-2.18294243160054e-09,8.49830715721768e-09,4.01259713713989e-10,-5.45472558247896e-11,-5.45472558247897e-11,-1.73010662274819e-10,2.65110715812428e-10,-3.75133754029893e-10,5.61020661795334e-10,-1.15926055450049e-08,3.62866301858439e-08,6.49817556120657e-09,1.4670794e-10,1.4670794e-10,1.35927238290888e-10,6.6405047926645e-11,3.9731883172318e-10,-1.804433234633e-10,6.608866469266e-10,1e-10,9.10115738502735e-09,1.4670794e-10,1.4670794e-10,1.35927238290887e-10,6.6405047926645e-11,3.9731883172318e-10,-1.804433234633e-10,6.60886646926599e-10,1e-10,-2.35747138643738e-08,-3.29414875946086e-09,-3.29414875946086e-09,-6.94185464414402e-09,7.99964186932485e-10,1.48486969965984e-09,-3.9155002283657e-09,9.98040736912706e-10,3.98303042219644e-08,-6.74215300284889e-08,1.1731672e-09,1.1731672e-09,2.2473359332894e-09,-1.52426666601935e-10,7.288606493881e-11,9.33780278834562e-10,5.6030851539112e-10,-1.17521467858986e-08,1.24941972774721e-08,3.28415214603898e-09,3.9323543701791e-09,7.10831861491262e-09,-4.07676848178068e-09,4.90202955629876e-10,-3.68749353895651e-09,-1.77806705459672e-09,-1.17521467858986e-08,2.6872205821541e-08]",-7.27680961892001e-08,4.35724510864813e-08
ags,"[0.2261248,0.2261248,0.15379317220712,0.09441453032174,0.3713411399114,0.39408181584584,-0.50603033730192,4.42094239888,1.25,0.221790026409061,0.221790026409061,0.179857368541926,-0.0705908374589841,1.94685543120334,-2.25003857377069,-0.16130772847994,2.29693798691255,1.25,0.296239212736026,0.296239212736026,0.334396635782315,0.255210029904591,-1.46687911362951,3.24121964282511,-3.26526362487771,13.3256920067458,1.25,0.18205713,0.18205713,0.01534056962445,0.0972348419698199,0.54733541111568,0.25807460221224,1.111519731164,-0.121673607082855,-12.7193944818877,0.18205713,0.18205713,0.0153405696244495,0.0972348419698204,0.54733541111568,0.258074602212239,1.111519731164,-0.121673607082858,44.9043577558987,0.18205713,0.18205713,0.0153405696244491,0.0972348419698292,0.547335411115668,0.258074602212233,1.11151973116399,-0.121673607082812,1.25,-0.156421437812533,-0.156421437812533,-0.68289560022505,-0.360966199902876,3.49120772441307,-2.59993950249505,-2.69407952106477,6.00088974435487,1.25,0.28805317,0.28805317,0.23399627201387,0.24072249696746,-0.374551045364441,1.1530741861472,2.30325973754048,-2.03898102803886,1.25,0.28805317,0.28805317,0.23399627201387,0.24072249696746,-0.374551045364441,1.1530741861472,2.30325973754048,-2.03898102803886,-19.2893357426319,0.45406393599493,0.45406393599493,0.228069837984056,1.32919678758711,-3.71294613864432,4.6066654391118,5.46761597336305,-2.03898102803885,17.6814685941055,0.23496304,0.23496304,0.23589154158385,-0.1073708404997,0.693065433792119,0.0486180535108804,1.29130076657072,-2.03898102803885,23.3086543735184,0.543504299226646,0.729584329189762,0.269181293730407,-0.694088580084904,2.56634612704128,0.209281556720716,-1.38602246243287,-2.03898102803886,-14.0213761047436]","[0.1373328,0.1373328,0.0295086516120699,0.0529089695462651,0.30333918616215,0.23070757605774,-0.623380510596121,4.69761336268,1.25,0.0421846055410811,0.0421846055410811,-0.129740304587892,-0.0484198579680248,1.50150587792378,-1.88907118486637,-0.241731280691576,2.4091487663693,1.25,0.233117095552106,0.233117095552106,0.278648108189909,0.107430152800773,-1.15266060776887,2.61023367141765,-3.5696135284376,14.2472309521148,1.25,0.13690013,0.13690013,-0.0316340240020127,0.0847470903399452,0.47871484501648,0.0540298743621399,1.121025338429,-0.241354828357858,-14.2629578822037,0.13690013,0.13690013,-0.0316340240020125,0.084747090339945,0.47871484501648,0.054029874362139,1.121025338429,-0.24135482835786,49.7279933818863,0.13690013,0.13690013,-0.0316340240020132,0.0847470903399454,0.478714845016484,0.0540298743621292,1.12102533842901,-0.241354828357856,1.25,-0.0941680993956615,-0.0941680993956614,-0.56338948079224,-0.157885307053891,2.90191432875734,-2.23490807860776,-2.7837073077736,6.17467007978096,1.25,0.21197527,0.21197527,0.141135791513957,0.163579482185935,-0.30859391207909,0.7977164370712,2.38969109504528,-2.32595109449885,1.25,0.21197527,0.21197527,0.141135791513957,0.163579482185935,-0.308593912079089,0.797716437071198,2.38969109504528,-2.32595109449886,-20.8147732369886,0.14527025553703,0.14527025553703,-0.133838972544491,0.96166140881989,-3.22354499757013,3.02515908547085,5.46105100897625,-2.32595109449885,18.9018185895908,0.23496304,0.23496304,0.235897132664538,-0.111454170356075,0.69595163301957,0.0300988943446807,1.33124420230292,-2.32595109449885,24.2060879593981,0.5092246601128,0.675130515746697,0.265503815399476,-0.639516382743009,2.38711338853533,0.202869707650952,-1.15794989857545,-2.32595109449885,-14.6426762795833]","[0.2846738,0.2846738,0.24265758492742,0.117939716445715,0.41242641448365,0.47384338151394,-0.38868016400772,4.14427143508,1.25,0.359147361700281,0.359147361700281,0.426359865346333,-0.101674165059227,2.35210280502763,-2.68420466825445,-0.0816142642123276,2.18807577984666,1.25,0.371042957725606,0.371042957725606,0.441157948017916,0.367681303341791,-1.79059333263795,3.80494453248637,-2.95447004901742,12.3829527865701,1.25,0.17852213,0.17852213,-0.00958540767898763,0.0980562784389951,0.58622562145988,0.359633203042341,1.102014123899,-0.00199238580785632,-11.0894596329466,0.17852213,0.17852213,-0.00958540767898786,0.0980562784389951,0.586225621459881,0.359633203042339,1.102014123899,-0.00199238580785632,39.8108113529578,0.17852213,0.17852213,-0.00958540767899052,0.098056278438996,0.586225621459889,0.359633203042335,1.10201412389901,-0.00199238580788119,1.25,-0.173246511271507,-0.173246511271507,-0.789087290608182,-0.447936202865201,4.02162087128858,-2.68841261231614,-2.58668385850566,5.78846997514865,1.25,0.28483517,0.28483517,0.225999022361107,0.263068487300985,-0.452034387421789,1.2808267907332,2.21682838003568,-1.75201096157886,1.25,0.28483517,0.28483517,0.225999022361107,0.263068487300985,-0.452034387421789,1.2808267907332,2.21682838003568,-1.75201096157886,-17.4584307788897,0.45201457917293,0.45201457917293,0.192856447433508,1.49115277572598,-4.28091834471354,5.34930966039938,5.45324277778348,-1.75201096157886,16.2167446231118,0.23496304,0.23496304,0.235885950503162,-0.103287510643325,0.69017923456467,0.0671372126770802,1.25135733083852,-1.75201096157885,21.9054591209721,0.577783938340492,0.783913218218862,0.272854897872505,-0.747028384632029,2.73907773928819,0.208204726885906,-1.58676556808507,-1.75201096157886,-13.0499332375962]",-20.8147732369886,49.7279933818863
alpha0,"[1e-10,1e-10,1e-10,1e-10,-4.5896723869156e-05,9.1793747738312e-05,-8.83801750964e-09,3.20214911058571e-08,1e-10,1e-10,1e-10,1e-10,1e-10,-0.000160303557730188,0.000320607415460376,-7.80495931169914e-09,2.83319975417827e-08,1e-10,2.22675988548041e-10,2.22675988548041e-10,2.1778265896932e-10,2.81831355015394e-10,2.50048018043741e-10,1e-10,-2.32128195859522e-08,8.33600699498292e-08,1e-10,1.7815831e-11,1.7815831e-11,2.1094013061788e-11,-2.1814048429144e-11,-5.21477910835981e-13,1e-10,1e-10,1e-10,1e-10,1.7815831e-11,1.7815831e-11,2.1094013061788e-11,-2.18140484291439e-11,-5.21477910836032e-13,1e-10,1e-10,1e-10,1e-10,1.7815831e-11,1.7815831e-11,2.10940130617878e-11,-2.18140484291439e-11,-5.21477910836549e-13,1e-10,1e-10,1e-10,1e-10,7.47073616767133e-11,7.47073616767133e-11,8.84538062255031e-11,-8.160051851811e-11,3.06336815186522e-10,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,-3.091654524078e-12,-9.66154909518441e-11,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,-3.091654524078e-12,-9.6615490951844e-11,1e-10,1e-10,1e-10,1e-10,-3.126961e-10,-3.126961e-10,-5.60565689369467e-10,-1.35008944937042e-10,-1.00838691094847e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1.79268526012786e-10,3.90954051843623e-11,-9.52649144198684e-11,1e-10,1e-10,1e-10,1e-10,4.11840153846154e-10,6.20460904929076e-10,4.26459619482637e-10,-4.67033621947176e-10,-7.17712340361928e-11,1e-10,1e-10,1e-10,1e-10]","[1e-10,1e-10,1e-10,1e-10,-4.6979642602591e-05,9.3959585205182e-05,-9.61787712479e-09,3.48067040171071e-08,1e-10,1e-10,1e-10,1e-10,1e-10,-0.000163027879963663,0.000326056059927326,-8.50482994908932e-09,3.08315355324619e-08,1e-10,2.20825201062161e-10,2.20825201062161e-10,2.15976674931938e-10,2.79727693131376e-10,2.49551793485874e-10,1e-10,-2.50179149920936e-08,8.98068392574773e-08,1e-10,1.7815831e-11,1.7815831e-11,2.1113753017793e-11,-2.2249091881834e-11,-1.72372784857094e-12,1e-10,1e-10,1e-10,1e-10,1.7815831e-11,1.7815831e-11,2.1113753017793e-11,-2.2249091881834e-11,-1.72372784857099e-12,1e-10,1e-10,1e-10,1e-10,1.7815831e-11,1.7815831e-11,2.11137530177928e-11,-2.22490918818339e-11,-1.72372784856996e-12,1e-10,1e-10,1e-10,1e-10,7.26498616043031e-11,7.26498616043031e-11,8.60982142618045e-11,-8.10985461069076e-11,2.97574274720816e-10,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,-3.1286311139205e-12,-9.89670377721591e-11,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,-3.1286311139205e-12,-9.8967037772159e-11,1e-10,1e-10,1e-10,1e-10,-2.901761e-10,-2.901761e-10,-5.21579499463169e-10,-1.26270905854266e-10,-1.02932960431092e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1.79745850696584e-10,3.93084526915155e-11,-9.7600308169365e-11,1e-10,1e-10,1e-10,1e-10,3.77194e-10,5.631967871785e-10,4.00796564076471e-10,-4.13359598025765e-10,-7.64670602543543e-11,1e-10,1e-10,1e-10,1e-10]","[1e-10,1e-10,1e-10,1e-10,-4.4813805135721e-05,8.9627910271442e-05,-8.05815789449e-09,2.92362781946071e-08,1e-10,1e-10,1e-10,1e-10,1e-10,-0.000157530460836959,0.000315061221673918,-7.10671732919327e-09,2.58382761756902e-08,1e-10,2.24526776033921e-10,2.24526776033921e-10,2.19589532094321e-10,2.83915422542303e-10,2.50490093264413e-10,1e-10,-2.13709706478601e-08,7.67820380280716e-08,1e-10,1.7815831e-11,1.7815831e-11,2.1074273105783e-11,-2.1379004976454e-11,6.80772026899032e-13,1e-10,1e-10,1e-10,1e-10,1.7815831e-11,1.7815831e-11,2.1074273105783e-11,-2.1379004976454e-11,6.80772026899032e-13,1e-10,1e-10,1e-10,1e-10,1.7815831e-11,1.7815831e-11,2.10742731057832e-11,-2.13790049764537e-11,6.8077202690017e-13,1e-10,1e-10,1e-10,1e-10,7.67648617491236e-11,7.67648617491236e-11,9.08048387655173e-11,-8.20105476908372e-11,3.14833897541503e-10,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,-3.0546779342355e-12,-9.4263944131529e-11,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,-3.0546779342355e-12,-9.42639441315289e-11,1e-10,1e-10,1e-10,1e-10,-3.352161e-10,-3.352161e-10,-5.99336892238184e-10,-1.43634373166531e-10,-9.87371464155049e-11,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1.78791201328988e-10,3.8882357677209e-11,-9.29295206703718e-11,1e-10,1e-10,1e-10,1e-10,4.46486307692308e-10,6.7758496560273e-10,4.51791925600213e-10,-5.20014928941236e-10,-6.71378445183803e-11,1e-10,1e-10,1e-10,1e-10]",-0.000163027879963663,0.000326056059927326
