param,tt,ss,ff,lower,upper
egidl,0.8,0.8,0.8,0.8,0.8
toxref,4.148e-09,4.148e-09,4.148e-09,4.148e-09,4.148e-09
dlcig,0.0,0.0,0.0,0.0,0.0
aigbacc,1.0,1.0,1.0,1.0,1.0
bigbacc,0.0,0.0,0.0,0.0,0.0
cigbacc,0.0,0.0,0.0,0.0,0.0
nigbacc,0.0,0.0,0.0,0.0,0.0
aigbinv,0.35,0.35,0.35,0.35,0.35
bigbinv,0.03,0.03,0.03,0.03,0.03
cigbinv,0.006,0.006,0.006,0.006,0.006
eigbinv,1.1,1.1,1.1,1.1,1.1
nigbinv,0.0,0.0,0.0,0.0,0.0
aigc,0.43,0.43,0.43,0.43,0.43
bigc,0.054,0.054,0.054,0.054,0.054
cigc,0.075,0.075,0.075,0.075,0.075
aigsd,0.43,0.43,0.43,0.43,0.43
bigsd,0.054,0.054,0.054,0.054,0.054
cigsd,0.075,0.075,0.075,0.075,0.075
nigc,0.0,0.0,0.0,0.0,0.0
poxedge,1.0,1.0,1.0,1.0,1.0
pigcd,1.0,1.0,1.0,1.0,1.0
ntox,1.0,1.0,1.0,1.0,1.0
vfbsdoff,0.0,0.0,0.0,0.0,0.0
dlc,9.87908e-09,-6.13e-10,1.85814e-08,-6.13e-10,1.85814e-08
dwc,0.0,2.252e-08,-2.252e-08,-2.252e-08,2.252e-08
xpart,0.0,0.0,0.0,0.0,0.0
cgso,2.449068e-10,2.4892e-10,2.4133302e-10,2.4133302e-10,2.4892e-10
cgdo,2.449068e-10,2.4892e-10,2.4133302e-10,2.4133302e-10,2.4892e-10
cgbo,1e-13,1e-13,1e-13,1e-13,1e-13
cgdl,0.0,0.0,0.0,0.0,0.0
cgsl,0.0,0.0,0.0,0.0,0.0
clc,1e-07,1e-07,1e-07,1e-07,1e-07
cle,0.6,0.6,0.6,0.6,0.6
cf,1.4067e-12,1.4067e-12,1.4067e-12,1.4067e-12,1.4067e-12
ckappas,0.6,0.6,0.6,0.6,0.6
vfbcv,-1.0,-1.0,-1.0,-1.0,-1.0
acde,0.4,0.4,0.4,0.4,0.4
moin,6.9,6.9,6.9,6.9,6.9
noff,3.4037,3.4037,3.4037,3.4037,3.4037
voffcv,-0.17287,-0.17287,-0.17287,-0.17287,-0.17287
xrcrg1,12.0,12.0,12.0,12.0,12.0
xrcrg2,1.0,1.0,1.0,1.0,1.0
rbpb,50.0,50.0,50.0,50.0,50.0
rbpd,50.0,50.0,50.0,50.0,50.0
rbps,50.0,50.0,50.0,50.0,50.0
rbdb,50.0,50.0,50.0,50.0,50.0
rbsb,50.0,50.0,50.0,50.0,50.0
gbmin,1e-12,1e-12,1e-12,1e-12,1e-12
ef,0.84,0.84,0.84,0.84,0.84
noia,2.5e+42,2.5e+42,2.5e+42,2.5e+42,2.5e+42
noib,0.0,0.0,0.0,0.0,0.0
noic,0.0,0.0,0.0,0.0,0.0
em,41000000.0,41000000.0,41000000.0,41000000.0,41000000.0
ntnoi,1.0,1.0,1.0,1.0,1.0
lintnoi,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07
af,1.0,1.0,1.0,1.0,1.0
kf,0.0,0.0,0.0,0.0,0.0
tnoia,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0
tnoib,9900000.0,9900000.0,9900000.0,9900000.0,9900000.0
rnoia,0.94,0.94,0.94,0.94,0.94
rnoib,0.26,0.26,0.26,0.26,0.26
xl,0.0,0.0,0.0,0.0,0.0
xw,0.0,0.0,0.0,0.0,0.0
dmcg,0.0,0.0,0.0,0.0,0.0
dmdg,0.0,0.0,0.0,0.0,0.0
dmcgt,0.0,0.0,0.0,0.0,0.0
xgw,0.0,0.0,0.0,0.0,0.0
xgl,0.0,0.0,0.0,0.0,0.0
ngcon,1.0,1.0,1.0,1.0,1.0
jss,0.00275,0.00275,0.00275,0.00275,0.00275
jsws,6e-10,6e-10,6e-10,6e-10,6e-10
ijthsfwd,0.1,0.1,0.1,0.1,0.1
ijthsrev,0.1,0.1,0.1,0.1,0.1
bvs,11.7,11.7,11.7,11.7,11.7
xjbvs,1.0,1.0,1.0,1.0,1.0
pbs,0.729,0.729,0.729,0.729,0.729
cjs,0.001339749237,0.00154845795,0.001131080901,0.001131080901,0.00154845795
mjs,0.44,0.44,0.44,0.44,0.44
pbsws,0.2,0.2,0.2,0.2,0.2
cjsws,3.67354204e-11,4.24559793e-11,3.101378147e-11,3.101378147e-11,4.24559793e-11
mjsws,0.0009,0.0009,0.0009,0.0009,0.0009
pbswgs,0.95578,0.95578,0.95578,0.95578,0.95578
cjswgs,2.38232788e-10,2.75331171e-10,2.011274009e-10,2.011274009e-10,2.75331171e-10
mjswgs,0.8,0.8,0.8,0.8,0.8
tnom,30.0,30.0,30.0,30.0,30.0
kt1,-0.31303,-0.31303,-0.31303,-0.31303,-0.31303
kt2,-0.045313337,-0.045313337,-0.045313337,-0.045313337,-0.045313337
at,140000.0,140000.0,140000.0,140000.0,140000.0
ute,-1.8134,-1.8134,-1.8134,-1.8134,-1.8134
ua1,3.7602e-10,3.7602e-10,3.7602e-10,3.7602e-10,3.7602e-10
ub1,-6.3962e-19,-6.3962e-19,-6.3962e-19,-6.3962e-19,-6.3962e-19
uc1,1.5829713e-11,1.5829713e-11,1.5829713e-11,1.5829713e-11,1.5829713e-11
kt1l,0.0,0.0,0.0,0.0,0.0
prt,0.0,0.0,0.0,0.0,0.0
tvoff,0.0,0.0,0.0,0.0,0.0
njs,1.2928,1.2928,1.2928,1.2928,1.2928
tpb,0.0012287,0.0012287,0.0012287,0.0012287,0.0012287
tcj,0.000792,0.000792,0.000792,0.000792,0.000792
tpbsw,0.0,0.0,0.0,0.0,0.0
tcjsw,1e-05,1e-05,1e-05,1e-05,1e-05
tpbswg,0.0,0.0,0.0,0.0,0.0
tcjswg,0.0,0.0,0.0,0.0,0.0
xtis,2.0,2.0,2.0,2.0,2.0
tvfbsdoff,0.0,0.0,0.0,0.0,0.0
ll,0.0,0.0,0.0,0.0,0.0
wl,0.0,0.0,0.0,0.0,0.0
lln,1.0,1.0,1.0,1.0,1.0
wln,1.0,1.0,1.0,1.0,1.0
lw,0.0,0.0,0.0,0.0,0.0
ww,0.0,0.0,0.0,0.0,0.0
lwn,1.0,1.0,1.0,1.0,1.0
wwn,1.0,1.0,1.0,1.0,1.0
lwl,0.0,0.0,0.0,0.0,0.0
wwl,0.0,0.0,0.0,0.0,0.0
llc,0.0,0.0,0.0,0.0,0.0
wlc,0.0,0.0,0.0,0.0,0.0
lwc,0.0,0.0,0.0,0.0,0.0
wwc,0.0,0.0,0.0,0.0,0.0
lwlc,0.0,0.0,0.0,0.0,0.0
wwlc,0.0,0.0,0.0,0.0,0.0
saref,3e-06,3e-06,3e-06,3e-06,3e-06
sbref,3e-06,3e-06,3e-06,3e-06,3e-06
kvth0,9.8e-09,9.8e-09,9.8e-09,9.8e-09,9.8e-09
lkvth0,0.0,0.0,0.0,0.0,0.0
wkvth0,2e-07,2e-07,2e-07,2e-07,2e-07
pkvth0,0.0,0.0,0.0,0.0,0.0
llodvth,0.0,0.0,0.0,0.0,0.0
wlodvth,1.0,1.0,1.0,1.0,1.0
wlod,0.0,0.0,0.0,0.0,0.0
stk2,0.0,0.0,0.0,0.0,0.0
lodk2,1.0,1.0,1.0,1.0,1.0
lodeta0,1.0,1.0,1.0,1.0,1.0
ku0,-2.7e-08,-2.7e-08,-2.7e-08,-2.7e-08,-2.7e-08
lku0,0.0,0.0,0.0,0.0,0.0
wku0,0.0,0.0,0.0,0.0,0.0
pku0,0.0,0.0,0.0,0.0,0.0
tku0,0.0,0.0,0.0,0.0,0.0
llodku0,0.0,0.0,0.0,0.0,0.0
wlodku0,1.0,1.0,1.0,1.0,1.0
kvsat,0.2,0.2,0.2,0.2,0.2
steta0,0.0,0.0,0.0,0.0,0.0
